frame,joint,x,y,bbox
393,ltoe_smpl,211.99,533.38,"(175.2,318.8)-(267.5,449.5)"
393,rtoe_smpl,211.9,536.43,"(175.2,318.8)-(267.5,449.5)"
394,lkne_smpl,189.36,448.4,"(168.2,314.4)-(250.8,437.7)"
394,rkne_smpl,214.68,452.6,"(168.2,314.4)-(250.8,437.7)"
394,lank_smpl,194.04,458.13,"(168.2,314.4)-(250.8,437.7)"
394,rank_smpl,210.75,484.83,"(168.2,314.4)-(250.8,437.7)"
394,ltoe_smpl,184.16,538.41,"(168.2,314.4)-(250.8,437.7)"
394,rtoe_smpl,208.17,555.38,"(168.2,314.4)-(250.8,437.7)"
396,ltoe_smpl,203.48,443.44,"(132.5,306.6)-(269.5,442.1)"
399,reyecoco,177.38,296.28,"(142.3,296.3)-(272.8,440.3)"
400,reyecoco,188.6,289.59,"(163.5,290.5)-(265.4,446.6)"
402,ltoe_smpl,298.6,386.41,"(180.5,280.7)-(289.1,450.0)"
411,ltoe_smpl,77.26,307.33,"(89.7,251.1)-(324.0,444.8)"
412,lank_smpl,92.46,289.07,"(96.6,253.3)-(323.3,444.4)"
412,ltoe_smpl,76.35,290.66,"(96.6,253.3)-(323.3,444.4)"
413,ltoe_smpl,95.75,270.13,"(103.5,254.5)-(319.5,446.1)"
414,lank_smpl,127.81,269.68,"(129.5,260.0)-(311.6,446.4)"
414,ltoe_smpl,114.66,265.16,"(129.5,260.0)-(311.6,446.4)"
415,ltoe_smpl,179.36,252.31,"(138.2,256.1)-(298.7,444.8)"
416,lank_smpl,215.0,254.39,"(145.7,256.8)-(285.1,443.4)"
416,ltoe_smpl,213.71,251.27,"(145.7,256.8)-(285.1,443.4)"
421,lhan_smpl,111.04,325.73,"(111.5,254.7)-(324.3,445.6)"
422,lank_smpl,311.04,270.2,"(115.8,257.7)-(308.4,448.4)"
422,ltoe_smpl,321.34,268.78,"(115.8,257.7)-(308.4,448.4)"
422,lwri_smpl,115.17,320.95,"(115.8,257.7)-(308.4,448.4)"
422,lhan_smpl,105.59,325.01,"(115.8,257.7)-(308.4,448.4)"
